-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     115.571ms         0.85%     115.571ms      32.246us           0 B           0 B           0 B           0 B          3584  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      75.211ms         0.56%      75.211ms      75.818us           0 B           0 B           0 B           0 B           992  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.781ms         0.24%      32.781ms      33.045us           0 B           0 B           0 B           0 B           992  
                                 _C::fused_add_rms_norm         0.42%      59.751ms         0.86%     121.216ms      13.245us      31.176ms         0.23%      31.180ms       3.407us           0 B           0 B           0 B           0 B          9152  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      31.176ms         0.23%      31.176ms       3.406us           0 B           0 B           0 B           0 B          9152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.849ms         0.20%      26.849ms      23.655us           0 B           0 B           0 B           0 B          1135  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      23.629ms         0.17%      23.629ms      23.819us           0 B           0 B           0 B           0 B           992  
void tensorrt_llm::kernels::cutlass_kernels::finaliz...         0.00%       0.000us         0.00%       0.000us       0.000us      21.535ms         0.16%      21.535ms       4.706us           0 B           0 B           0 B           0 B          4576  
                                   _C::rotary_embedding         0.22%      30.949ms         0.43%      61.445ms      13.428us      13.903ms         0.10%      13.906ms       3.039us           0 B           0 B           0 B           0 B          4576  
void vllm::rotary_embedding_kernel<c10::BFloat16, c1...         0.00%       0.000us         0.00%       0.000us       0.000us      13.903ms         0.10%      13.903ms       3.038us           0 B           0 B           0 B           0 B          4576  
void tensorrt_llm::kernels::cutlass_kernels::expandI...         0.00%       0.000us         0.00%       0.000us       0.000us      12.970ms         0.10%      12.970ms       2.834us           0 B           0 B           0 B           0 B          4576  
                                            aten::copy_         0.32%      45.490ms         3.00%     424.756ms      51.243us      10.334ms         0.08%      10.472ms       1.263us           0 B           0 B           0 B           0 B          8289  
                                Activity Buffer Request         0.12%      16.342ms         0.13%      18.245ms       1.659ms       9.435ms         0.07%      19.978ms       1.816ms           0 B           0 B       3.99 MB     -76.04 MB            11  
                                           Buffer Flush         0.00%     629.623us         0.00%     670.621us      74.513us       9.308ms         0.07%       9.308ms       1.034ms           0 B           0 B     -46.70 MB     -46.71 MB             9  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       9.135ms         0.07%       9.135ms       9.209us           0 B           0 B           0 B           0 B           992  
                  _C_cache_ops::reshape_and_cache_flash         0.23%      32.262ms         0.47%      66.402ms      14.511us       8.950ms         0.07%       8.950ms       1.956us           0 B           0 B           0 B           0 B          4576  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       8.950ms         0.07%       8.950ms       1.956us           0 B           0 B           0 B           0 B          4576  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       8.466ms         0.06%       8.466ms       2.362us           0 B           0 B           0 B           0 B          3584  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       7.996ms         0.06%       7.996ms       1.359us           0 B           0 B           0 B           0 B          5885  
                                    Command Buffer Full         5.28%     748.477ms         5.28%     748.477ms       1.524ms       7.117ms         0.05%       7.117ms      14.494us           0 B           0 B           0 B           0 B           491  
                                   _moe_C::topk_softmax         0.16%      22.565ms         0.72%     102.316ms      22.359us       6.555ms         0.05%       6.807ms       1.488us           0 B           0 B           0 B           0 B          4576  
void vllm::moe::topkGating<8, 8, 4, 16, 32, int, __n...         0.00%       0.000us         0.00%       0.000us       0.000us       6.555ms         0.05%       6.555ms       1.432us           0 B           0 B           0 B           0 B          4576  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       5.875ms         0.04%       5.875ms       1.639us           0 B           0 B           0 B           0 B          3584  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.139ms         0.04%       5.139ms       0.717us           0 B           0 B           0 B           0 B          7168  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us       4.482ms         0.03%       4.482ms       1.250us           0 B           0 B           0 B           0 B          3584  
                                        cudaEventRecord         0.00%     436.733us         0.00%     436.733us       1.522us       4.472ms         0.03%       4.472ms      15.581us           0 B           0 B           0 B           0 B           287  
                               cudaEventRecordWithFlags         0.00%     364.061us         0.00%     364.061us       1.264us       4.034ms         0.03%       4.034ms      14.008us           0 B           0 B           0 B           0 B           288  
                                  cudaStreamIsCapturing         0.01%     802.839us         0.01%     802.839us       0.475us       3.990ms         0.03%       3.990ms       2.362us           0 B           0 B           0 B           0 B          1689  
                                       cuLaunchKernelEx         0.01%     944.235us         0.01%     944.235us       6.603us       3.284ms         0.02%       3.284ms      22.967us           0 B           0 B           0 B           0 B           143  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us       1.363ms         0.01%       1.363ms       1.374us           0 B           0 B           0 B           0 B           992  
                                            aten::index         0.03%       3.819ms         0.07%       9.479ms      33.144us       1.165ms         0.01%       1.422ms       4.971us           0 B           0 B       1.24 MB       1.17 MB           286  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     990.457us         0.01%     990.457us       1.385us           0 B           0 B           0 B           0 B           715  
                                           aten::argmax         0.01%       1.487ms         0.02%       2.265ms      15.838us     953.404us         0.01%     953.404us       6.667us           0 B           0 B      71.50 KB      71.50 KB           143  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     953.404us         0.01%     953.404us       6.667us           0 B           0 B           0 B           0 B           143  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     786.294us         0.01%     786.294us       5.499us           0 B           0 B           0 B           0 B           143  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     769.493us         0.01%     769.493us       0.690us           0 B           0 B           0 B           0 B          1115  
                                   cudaEventSynchronize        64.89%        9.191s        64.89%        9.191s      32.023ms     697.205us         0.01%     697.205us       2.429us           0 B           0 B           0 B           0 B           287  
                                           _C::rms_norm         0.01%     900.299us         0.01%       1.876ms      13.121us     393.680us         0.00%     393.680us       2.753us           0 B           0 B           0 B           0 B           143  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     393.680us         0.00%     393.680us       2.753us           0 B           0 B           0 B           0 B           143  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     378.603us         0.00%     378.603us       2.648us           0 B           0 B           0 B           0 B           143  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     333.871us         0.00%     333.871us       2.335us           0 B           0 B           0 B           0 B           143  
                                 aten::_index_put_impl_         0.01%       1.953ms         2.24%     317.417ms       2.220ms     321.604us         0.00%     834.612us       5.836us           0 B           0 B           0 B    -143.00 KB           143  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     321.604us         0.00%     321.604us       2.249us           0 B           0 B           0 B           0 B           143  
                                              aten::add         0.02%       2.410ms         0.03%       4.056ms       9.454us     313.796us         0.00%     315.908us       0.736us           0 B           0 B     311.00 KB     311.00 KB           429  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     273.571us         0.00%     273.571us       1.913us           0 B           0 B           0 B           0 B           143  
                                  Lazy Function Loading         0.00%     383.067us         0.00%     383.067us      38.307us     188.261us         0.00%     188.261us      18.826us           0 B           0 B           0 B           0 B            10  
                                           aten::gather         0.01%     963.627us         0.01%       1.743ms      15.565us     180.968us         0.00%     180.968us       1.616us           0 B           0 B           0 B           0 B           112  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     180.968us         0.00%     180.968us       1.616us           0 B           0 B           0 B           0 B           112  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     166.210us         0.00%     166.210us       1.162us           0 B           0 B           0 B           0 B           143  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     148.199us         0.00%     148.199us       1.036us           0 B           0 B           0 B           0 B           143  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     147.586us         0.00%     147.586us       1.032us           0 B           0 B           0 B           0 B           143  
                                              aten::sub         0.01%       1.371ms         0.02%       2.484ms      17.374us     127.331us         0.00%     128.226us       0.897us           0 B           0 B      71.50 KB      71.50 KB           143  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     127.331us         0.00%     127.331us       0.890us           0 B           0 B           0 B           0 B           143  
                                            aten::fill_         0.01%       2.069ms         0.03%       3.833ms       4.467us     109.668us         0.00%     109.668us       0.128us           0 B           0 B           0 B           0 B           858  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     109.668us         0.00%     109.668us       0.767us           0 B           0 B           0 B           0 B           143  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      95.547us         0.00%      95.547us       0.668us           0 B           0 B           0 B           0 B           143  
                       Runtime Triggered Module Loading         0.80%     112.716ms         0.80%     112.716ms      56.358ms      94.851us         0.00%      94.851us      47.426us           0 B           0 B           0 B           0 B             2  
                                    cudaStreamWaitEvent         0.00%     145.483us         0.00%     145.483us       1.017us      61.252us         0.00%      61.252us       0.428us           0 B           0 B           0 B           0 B           143  
                                     aten::index_select         0.01%       1.488ms         0.03%       4.524ms      15.819us      44.801us         0.00%     225.769us       0.789us           0 B           0 B     224.24 MB           0 B           286  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      44.801us         0.00%      44.801us       1.445us           0 B           0 B           0 B           0 B            31  
                 execute_context_1(256)_generation_0(0)         6.79%     961.360ms        25.47%        3.608s      32.217ms       0.000us         0.00%       12.971s     115.811ms           0 B        -112 B     231.71 MB     -35.20 GB           112  
                                            aten::empty         1.25%     176.791ms         1.25%     176.820ms       3.092us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     155.29 GB     155.29 GB         57186  
                                          cudaHostAlloc         0.00%      52.501us         0.00%      52.501us      17.500us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                               aten::to         0.02%       2.510ms         2.36%     334.561ms      54.338us       0.000us         0.00%       1.708ms       0.277us           0 B           0 B      18.20 MB           0 B          6157  
                                       aten::lift_fresh         0.00%      82.520us         0.00%      82.520us       0.191us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           433  
                                          aten::detach_         0.00%       1.321us         0.00%       1.321us       0.330us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                         aten::_to_copy         0.02%       2.613ms         2.34%     332.050ms     289.242us       0.000us         0.00%       1.708ms       1.488us           0 B           0 B      18.20 MB           0 B          1148  
                                    aten::empty_strided         0.32%      45.631ms         0.32%      45.915ms       4.066us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       7.04 GB       7.04 GB         11292  
                                        cudaMemcpyAsync         0.42%      59.760ms         0.42%      59.760ms       8.366us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          7143  
                                         cudaEventQuery         0.00%     260.991us         0.00%     260.991us       1.032us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           253  
                                            aten::slice         0.24%      33.945ms         0.32%      44.940ms       1.337us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         33611  
                                       aten::as_strided         0.30%      42.571ms         0.30%      42.571ms       0.442us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         96308  
                                          aten::flatten         0.02%       2.902ms         0.02%       3.242ms       0.349us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          9295  
                                             aten::view         0.24%      34.634ms         0.24%      34.634ms       0.546us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         63434  
                                           aten::detach         0.00%     265.402us         0.00%     265.402us       0.928us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           286  
                                     aten::resolve_conj         0.00%      88.727us         0.00%      88.727us       0.207us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           429  
                                      aten::resolve_neg         0.00%      44.060us         0.00%      44.060us       0.103us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           429  
                                       cudaLaunchKernel         1.88%     266.542ms         4.38%     619.784ms      14.701us       0.000us         0.00%     571.987us       0.014us           0 B           0 B           0 B           0 B         42158  
                                          aten::reshape         0.09%      12.442ms         0.13%      18.860ms       1.377us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         13692  
                                               aten::lt         0.00%     548.633us         0.00%     548.633us       3.837us       0.000us         0.00%       0.000us       0.000us         143 B         143 B           0 B           0 B           143  
                                        aten::embedding         0.00%     178.614us         0.03%       4.420ms      30.911us       0.000us         0.00%     225.769us       1.579us           0 B           0 B     224.24 MB           0 B           143  
                                          aten::resize_         0.00%     410.649us         0.00%     410.649us       2.872us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     224.24 MB     224.24 MB           143  
                                           aten::expand         0.12%      16.809ms         0.15%      21.133ms       1.527us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         13840  
                                           aten::linear         0.19%      27.125ms         6.55%     927.912ms      66.896us       0.000us         0.00%     394.512ms      28.441us           0 B           0 B      21.04 GB           0 B         13871  
                                                aten::t         0.19%      26.212ms         0.39%      54.612ms       3.937us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         13871  
                                        aten::transpose         0.13%      18.996ms         0.22%      31.314ms       1.975us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         15855  
                                           aten::matmul         0.16%      23.087ms         5.97%     846.176ms      61.003us       0.000us         0.00%     394.512ms      28.441us           0 B           0 B      21.04 GB           0 B         13871  
                                 cudaDeviceGetAttribute         0.07%      10.097ms         0.07%      10.097ms       0.382us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         26464  
                                        cudaMemsetAsync         0.28%      39.417ms         3.09%     438.177ms      61.130us       0.000us         0.00%       6.726ms       0.938us           0 B           0 B           0 B           0 B          7168  
                                         cuLaunchKernel         0.48%      68.145ms         0.48%      68.145ms       5.803us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         11744  
                                 aten::split_with_sizes         0.09%      12.149ms         0.12%      16.799ms       3.671us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4576  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 14.164s
Self CUDA time total: 13.548s

