Serial workload request 26. This is a project-authored mixed-length context. Use only the records below. Preserve record identifiers when answering.

Record 00001: station Birch; shipment code SERIAL26-00001-07919; marker green; quantity 170; observed delay 13 minutes; validation state accepted.
Record 00090: station Cedar; shipment code SERIAL26-00090-12710; marker violet; quantity 694; observed delay 42 minutes; validation state accepted.
Record 00091: station Dogwood; shipment code SERIAL26-00091-20629; marker blue; quantity 791; observed delay 8 minutes; validation state accepted.
Record 00092: station Elm; shipment code SERIAL26-00092-28548; marker indigo; quantity 888; observed delay 21 minutes; validation state accepted.
Record 00093: station Fir; shipment code SERIAL26-00093-36467; marker white; quantity 84; observed delay 34 minutes; validation state accepted.
Record 00094: station Grove; shipment code SERIAL26-00094-44386; marker copper; quantity 181; observed delay 0 minutes; validation state accepted.
Record 00095: station Hazel; shipment code SERIAL26-00095-52305; marker silver; quantity 278; observed delay 13 minutes; validation state accepted.
Record 00096: station Alder; shipment code SERIAL26-00096-60224; marker amber; quantity 375; observed delay 26 minutes; validation state accepted.
Record 00097: station Birch; shipment code SERIAL26-00097-68143; marker green; quantity 472; observed delay 39 minutes; validation state accepted.
Record 00098: station Cedar; shipment code SERIAL26-00098-76062; marker violet; quantity 569; observed delay 5 minutes; validation state accepted.
Record 00099: station Dogwood; shipment code SERIAL26-00099-83981; marker blue; quantity 666; observed delay 18 minutes; validation state accepted.
Record 00100: station Elm; shipment code SERIAL26-00100-91900; marker indigo; quantity 763; observed delay 31 minutes; validation state accepted.
Record 00101: station Fir; shipment code SERIAL26-00101-99819; marker white; quantity 860; observed delay 44 minutes; validation state accepted.
Record 00102: station Grove; shipment code SERIAL26-00102-07738; marker copper; quantity 957; observed delay 10 minutes; validation state accepted.
Record 00103: station Hazel; shipment code SERIAL26-00103-15657; marker silver; quantity 153; observed delay 23 minutes; validation state accepted.
Record 00104: station Alder; shipment code SERIAL26-00104-23576; marker amber; quantity 250; observed delay 36 minutes; validation state accepted.
Record 00105: station Birch; shipment code SERIAL26-00105-31495; marker green; quantity 347; observed delay 2 minutes; validation state accepted.
Record 00106: station Cedar; shipment code SERIAL26-00106-39414; marker violet; quantity 444; observed delay 15 minutes; validation state accepted.
Record 00107: station Dogwood; shipment code SERIAL26-00107-47333; marker blue; quantity 541; observed delay 28 minutes; validation state accepted.
Record 00108: station Elm; shipment code SERIAL26-00108-55252; marker indigo; quantity 638; observed delay 41 minutes; validation state accepted.
Record 00109: station Fir; shipment code SERIAL26-00109-63171; marker white; quantity 735; observed delay 7 minutes; validation state accepted.
Record 00110: station Grove; shipment code SERIAL26-00110-71090; marker copper; quantity 832; observed delay 20 minutes; validation state accepted.
Record 00111: station Hazel; shipment code SERIAL26-00111-79009; marker silver; quantity 929; observed delay 33 minutes; validation state accepted.
Record 00112: station Alder; shipment code SERIAL26-00112-86928; marker amber; quantity 125; observed delay 46 minutes; validation state accepted.
Record 00113: station Birch; shipment code SERIAL26-00113-94847; marker green; quantity 222; observed delay 12 minutes; validation state accepted.
Record 00114: station Cedar; shipment code SERIAL26-00114-02766; marker violet; quantity 319; observed delay 25 minutes; validation state accepted.
Record 00115: station Dogwood; shipment code SERIAL26-00115-10685; marker blue; quantity 416; observed delay 38 minutes; validation state accepted.
Record 00116: station Elm; shipment code SERIAL26-00116-18604; marker indigo; quantity 513; observed delay 4 minutes; validation state accepted.
Record 00117: station Fir; shipment code SERIAL26-00117-26523; marker white; quantity 610; observed delay 17 minutes; validation state accepted.
Record 00118: station Grove; shipment code SERIAL26-00118-34442; marker copper; quantity 707; observed delay 30 minutes; validation state accepted.
Record 00119: station Hazel; shipment code SERIAL26-00119-42361; marker silver; quantity 804; observed delay 43 minutes; validation state accepted.
Record 00120: station Alder; shipment code SERIAL26-00120-50280; marker amber; quantity 901; observed delay 9 minutes; validation state accepted.
Record 00121: station Birch; shipment code SERIAL26-00121-58199; marker green; quantity 97; observed delay 22 minutes; validation state accepted.
Record 00122: station Cedar; shipment code SERIAL26-00122-66118; marker violet; quantity 194; observed delay 35 minutes; validation state accepted.
Record 00123: station Dogwood; shipment code SERIAL26-00123-74037; marker blue; quantity 291; observed delay 1 minutes; validation state accepted.
Record 00124: station Elm; shipment code SERIAL26-00124-81956; marker indigo; quantity 388; observed delay 14 minutes; validation state accepted.
Record 00125: station Fir; shipment code SERIAL26-00125-89875; marker white; quantity 485; observed delay 27 minutes; validation state accepted.
Record 00126: station Grove; shipment code SERIAL26-00126-97794; marker copper; quantity 582; observed delay 40 minutes; validation state accepted.
Record 00127: station Hazel; shipment code SERIAL26-00127-05713; marker silver; quantity 679; observed delay 6 minutes; validation state accepted.
Record 00128: station Alder; shipment code SERIAL26-00128-13632; marker amber; quantity 776; observed delay 19 minutes; validation state accepted.
Record 00129: station Birch; shipment code SERIAL26-00129-21551; marker green; quantity 873; observed delay 32 minutes; validation state accepted.
Record 00130: station Cedar; shipment code SERIAL26-00130-29470; marker violet; quantity 970; observed delay 45 minutes; validation state accepted.
Record 00131: station Dogwood; shipment code SERIAL26-00131-37389; marker blue; quantity 166; observed delay 11 minutes; validation state accepted.
Record 00132: station Elm; shipment code SERIAL26-00132-45308; marker indigo; quantity 263; observed delay 24 minutes; validation state accepted.
Record 00133: station Fir; shipment code SERIAL26-00133-53227; marker white; quantity 360; observed delay 37 minutes; validation state accepted.
Record 00134: station Grove; shipment code SERIAL26-00134-61146; marker copper; quantity 457; observed delay 3 minutes; validation state accepted.
Record 00135: station Hazel; shipment code SERIAL26-00135-69065; marker silver; quantity 554; observed delay 16 minutes; validation state accepted.
Record 00136: station Alder; shipment code SERIAL26-00136-76984; marker amber; quantity 651; observed delay 29 minutes; validation state accepted.
Record 00137: station Birch; shipment code SERIAL26-00137-84903; marker green; quantity 748; observed delay 42 minutes; validation state accepted.
Record 00138: station Cedar; shipment code SERIAL26-00138-92822; marker violet; quantity 845; observed delay 8 minutes; validation state accepted.
Record 00139: station Dogwood; shipment code SERIAL26-00139-00741; marker blue; quantity 942; observed delay 21 minutes; validation state accepted.
Record 00140: station Elm; shipment code SERIAL26-00140-08660; marker indigo; quantity 138; observed delay 34 minutes; validation state accepted.
Record 00141: station Fir; shipment code SERIAL26-00141-16579; marker white; quantity 235; observed delay 0 minutes; validation state accepted.
Record 00142: station Grove; shipment code SERIAL26-00142-24498; marker copper; quantity 332; observed delay 13 minutes; validation state accepted.
Record 00143: station Hazel; shipment code SERIAL26-00143-32417; marker silver; quantity 429; observed delay 26 minutes; validation state accepted.
Record 00144: station Alder; shipment code SERIAL26-00144-40336; marker amber; quantity 526; observed delay 39 minutes; validation state accepted.
Record 00145: station Birch; shipment code SERIAL26-00145-48255; marker green; quantity 623; observed delay 5 minutes; validation state accepted.
Record 00146: station Cedar; shipment code SERIAL26-00146-56174; marker violet; quantity 720; observed delay 18 minutes; validation state accepted.
Record 00147: station Dogwood; shipment code SERIAL26-00147-64093; marker blue; quantity 817; observed delay 31 minutes; validation state accepted.
Record 00148: station Elm; shipment code SERIAL26-00148-72012; marker indigo; quantity 914; observed delay 44 minutes; validation state accepted.
Record 00149: station Fir; shipment code SERIAL26-00149-79931; marker white; quantity 110; observed delay 10 minutes; validation state accepted.
Record 00150: station Grove; shipment code SERIAL26-00150-87850; marker copper; quantity 207; observed delay 23 minutes; validation state accepted.
Record 00151: station Hazel; shipment code SERIAL26-00151-95769; marker silver; quantity 304; observed delay 36 minutes; validation state accepted.
Record 00152: station Alder; shipment code SERIAL26-00152-03688; marker amber; quantity 401; observed delay 2 minutes; validation state accepted.
Record 00153: station Birch; shipment code SERIAL26-00153-11607; marker green; quantity 498; observed delay 15 minutes; validation state accepted.

Task for request 26: identify the record with the largest quantity among the final five records, state its shipment code, and give one sentence comparing its delay with the first record.
